folder,target,fault_type,num,anomaly_score_new,anomaly_nodes
1,orders-db,orders_shipping,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,carts-db,orders_shipping,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,rabbitmq,orders_shipping,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,orders,orders_carts,3,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,user,orders_carts,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,carts,orders_carts,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,payment,orders_carts,2,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797)]","{'payment', 'catalogue'}"
,,,,,
1,shipping,orders_carts,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,orders-db,orders_carts,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,carts-db,orders_carts,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,rabbitmq,orders_carts,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,orders,front-end_orders,3,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,user,front-end_orders,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,carts,front-end_orders,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,payment,front-end_orders,2,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797)]","{'payment', 'catalogue'}"
,,,,,
1,shipping,front-end_orders,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,orders-db,front-end_orders,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,carts-db,front-end_orders,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,rabbitmq,front-end_orders,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,orders,orders_payment,3,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,user,orders_payment,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,carts,orders_payment,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,payment,orders_payment,2,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797)]","{'payment', 'catalogue'}"
,,,,,
1,shipping,orders_payment,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,orders-db,orders_payment,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,carts-db,orders_payment,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,rabbitmq,orders_payment,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,orders,orders_shipping,3,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,user,orders_shipping,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,carts,orders_shipping,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,payment,orders_shipping,2,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797)]","{'payment', 'catalogue'}"
,,,,,
1,shipping,orders_shipping,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,orders-db,orders_shipping,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,carts-db,orders_shipping,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
1,rabbitmq,orders_shipping,10,"[('front-end', 0.4549099350054502), ('payment', 0.005353813749588797), ('orders', 0.004550764407398701)]","{'payment', 'catalogue'}"
,,,,,
2,orders,orders_carts,2,"[('payment', 0.5405398932771217), ('orders', 0.45946010672287846)]",{'payment'}
,,,,,
2,user,orders_carts,10,"[('payment', 0.5405398932771217), ('orders', 0.45946010672287846)]",{'payment'}
,,,,,
2,carts,orders_carts,10,"[('payment', 0.5405398932771217), ('orders', 0.45946010672287846)]",{'payment'}
,,,,,
2,payment,orders_carts,6,"[('front-end', 0.34030955270336144), ('orders', 0.2626634092459876), ('shipping', 0.11870290089233251), ('carts', 0.08382214587856446), ('user', 0.08143250129023806), ('payment', 0.05799251201968188)]","{'shipping', 'carts', 'payment', 'user', 'orders', 'catalogue'}"
,,,,,
2,shipping,orders_carts,3,"[('front-end', 0.34030955270336144), ('orders', 0.2626634092459876), ('shipping', 0.11870290089233251)]","{'shipping', 'carts', 'payment', 'user', 'orders', 'catalogue'}"
,,,,,
2,orders-db,orders_carts,10,"[('payment', 0.5405398932771217), ('orders', 0.45946010672287846)]",{'payment'}
,,,,,
2,carts-db,orders_carts,10,"[('payment', 0.5405398932771217), ('orders', 0.45946010672287846)]",{'payment'}
,,,,,
2,rabbitmq,orders_carts,10,"[('payment', 0.5405398932771217), ('orders', 0.45946010672287846)]",{'payment'}
,,,,,
